21
  0.0e+00  0.109737   2.91
  5.0e-02  0.258532   2.91
  1.0e-01  0.401421   2.76
  1.5e-01  0.535168   2.55
  2.0e-01  0.656550   2.27
  2.5e-01  0.762840   1.95
  3.0e-01  0.851785   1.58
  3.5e-01  0.921153   1.17
  4.0e-01  0.969231   7.40e-1
  4.5e-01  0.995244   2.92e-1
  5.0e-01  0.998514  -1.65e-1
  5.5e-01  0.978652  -6.20e-1
  6.0e-01  0.936425  -1.05
  6.5e-01  0.872880  -1.47
  7.0e-01  0.789161  -1.85
  7.5e-01  0.687305  -2.19
  8.0e-01  0.569821  -2.48
  8.5e-01  0.439238  -2.71
  9.0e-01  0.298508  -2.88
  9.5e-01  0.150978  -2.98
  1.0e+00  0.222050  -2.98
