21
 0.0e+00   0.63013   1.08
 5.0e-02   0.68626   1.08
 1.0e-01   0.73857   1.00
 1.5e-01   0.78677   9.20e-1
 2.0e-01   0.83060   8.30e-1
 2.5e-01   0.86979   7.35e-1
 3.0e-01   0.90416   6.36e-1
 3.5e-01   0.93349   5.34e-1
 4.0e-01   0.95762   4.29e-1
 4.5e-01   0.97643   3.21e-1
 5.0e-01   0.98981   2.12e-1
 5.5e-01   0.99766   1.01e-1
 6.0e-01   0.99998  -9.31e-3
 6.5e-01   0.99673  -1.20e-1
 7.0e-01   0.98793  -2.30e-1
 7.5e-01   0.97363  -3.40e-1
 8.0e-01   0.95393  -4.47e-1
 8.5e-01   0.92891  -5.52e-1
 9.0e-01   0.89871  -6.53e-1
 9.5e-01   0.86352  -7.51e-1
 1.0e+00   0.82354  -7.51e-1
