#  r [mm]      beta_r*gamma       theta [mm]      beta_theta*gamma        z [mm]          beta_z*gamma
#Turn number = 2, Time = 1.18460020e+02 [ns]
 2.15797067e+00 1.94040583e-03 -1.08332208e-01 4.05842529e-01 8.15092686e-04 9.43936409e-05
#Turn number = 3, Time = 2.36920039e+02 [ns]
 2.18770008e+00 9.72073128e-04 7.20735435e-03 4.12488884e-01 5.24988021e-04 1.43556440e-04
#Turn number = 4, Time = 3.55380059e+02 [ns]
 2.21854701e+00 -8.74044916e-04 2.14692044e-01 4.19132975e-01 2.49014001e-04 1.66705352e-04
#Turn number = 5, Time = 4.73840079e+02 [ns]
 2.24976188e+00 -2.00512020e-03 3.37133186e-01 4.25775275e-01 -4.95832540e-05 1.73394234e-04
#Turn number = 6, Time = 5.92300099e+02 [ns]
 2.28003140e+00 -3.05359143e-03 4.25821215e-01 4.32416405e-01 -3.85081457e-04 1.63301885e-04
#Turn number = 7, Time = 7.10760118e+02 [ns]
 2.31058156e+00 -4.06093915e-03 5.39019723e-01 4.39052419e-01 -6.84608385e-04 1.32518572e-04
#Turn number = 8, Time = 8.29220138e+02 [ns]
 2.33928432e+00 -4.74393618e-03 6.10103109e-01 4.45686493e-01 -8.80260006e-04 8.46356076e-05
#Turn number = 9, Time = 9.47206318e+02 [ns]
 2.36578202e+00 1.04206097e-02 -6.96289031e-01 4.52224522e-01 -9.58890268e-04 2.32448686e-05
#Turn number = 10, Time = 1.06566634e+03 [ns]
 2.39342053e+00 9.75584026e-03 -5.60777292e-01 4.58863878e-01 -8.76795581e-04 -4.49898682e-05
#Turn number = 11, Time = 1.18412636e+03 [ns]
 2.42137834e+00 9.55293284e-03 -4.47945783e-01 4.65482138e-01 -6.45406138e-04 -1.08748452e-04
